推數,噓數,文章分數,文章作者,文章名稱,發表時間
25,4,21,Rusnake5566 (魯蛇+56 PTT最強帳號),[問卦] 兩個候選人選前一個月同時陣亡的可能性,Fri Oct  2 13:56:39 2020
11,11,0,LoveMakeLove (ボケ),[新聞]江啟臣：兩岸是不對稱的戰爭 從募兵改徵兵,Wed Oct  7 18:53:08 2020
1,1,0,Asce (Excalibur),[新聞] 高加索血戰破百死：亞美尼亞禁止役齡男,Fri Oct  2 13:07:43 2020
20,0,20,MintSu (Simon),[問卦] 如果川普老婆死於武漢肺炎會怎麼樣？,Fri Oct  2 13:30:55 2020
31,2,29,seiya2000 (風見),[問卦] 為什麼古代生物體型可以長到這麼大？,Fri Oct  2 12:35:18 2020
106,6,100,kasumi5566 (霞),[問卦] 支那女生是不是都沒錢修補衣服,Fri Oct  2 13:43:25 2020
0,0,0,aasawfish (),[問卦] 今天為什麼要降半旗,Wed Oct  7 17:34:21 2020
3,3,0,douCai (D能統粉),[問卦] 八卦板的問卦484都毫無意義?,Fri Oct  2 12:46:14 2020
11,27,-16,starport (輕鬆看),[新聞] 川普夫婦確診了！網友卻認為「案情不單,Fri Oct  2 14:30:34 2020
6,0,6,trolleybus99 (不要問),[問卦] 習大大現在在想什麼,Fri Oct  2 14:07:53 2020
4,7,-3,HTC92 (中国台湾人的驕傲-92共識),[問卦] 正妹讀大學時  大概會吃幾根香腸?,Wed Oct  7 18:41:32 2020
2,4,-2,Huffman (David),[問卦] 美帝統領中瘟疫了 現在是解放台灣時候?,Fri Oct  2 13:20:56 2020
3,0,3,smallpig02 (小豬二號),[問卦] 美軍、參聯會現在想什麼?,Fri Oct  2 14:30:49 2020
2,4,-2,hk410050 (A柏),[新聞] 國際藝文人士來台可申請專案縮短隔離 國,Wed Oct  7 16:53:31 2020
36,4,32,tennoji2003 (),[問卦] 隨便說三個你會的做愛技巧！,Wed Oct  7 17:55:20 2020
4,0,4,XDDDpupu5566 (XDpu56家族),[問卦] 亡國之君在想什麼？,Fri Oct  2 14:13:42 2020
4,3,1,E24056823 (RAINFAULT),[問卦] 現在新聞都喜歡用什麼字眼啊,Fri Oct  2 13:25:47 2020
0,0,0,postit (擁有秘密是快樂的事),[新聞] 酒店公關爽吃人夫...還跩嗆正宮「鬆姐黑,Fri Oct  2 14:57:51 2020
7,2,5,hhuuu (hhhh),[問卦] 你第一眼直覺這個能防螞蟻嗎,Wed Oct  7 17:30:27 2020
149,14,135,gogopacer (gogopacer),[問卦] 大安區的便當這樣多少？,Wed Oct  7 18:07:59 2020
2,2,0,WaWa3 (寂寞的麻糬),[問卦] 泌尿科找女醫師，最後向台女露鳥的機會？,Fri Oct  2 11:32:58 2020
10,0,10,ccf52881 (ccf52881),[新聞] 新莊、樹林周邊電桿全面地下化 耗資9億54,Wed Oct  7 16:42:00 2020
3,0,3,freeunixer (離自相空她相),[問卦] 憂鬱症不吃藥的治療方法,Wed Oct  7 18:19:19 2020
4,0,4,zalora (lara),[新聞] 印度邊境布防巡航導彈目標鎖解放軍西藏,Fri Oct  2 12:59:39 2020
94,29,65,www90173 (明鏡),[問卦] 華堡是不是屌打大麥克,Wed Oct  7 16:26:18 2020
8,6,2,cimo764 (蘋果西打),[新聞] 扯！台中發獎狀竟印中國民國　師：原來,Wed Oct  7 19:37:02 2020
4,0,4,a12345x (到不了終點),[問卦] 台灣的印度人多嗎,Fri Oct  2 12:49:40 2020
4,1,3,blue999 (民國詩人-Blue居易),[問卦] 喂 為什麼教召要改成一年一訓而不徵兵啦,Wed Oct  7 17:38:51 2020
56,2,54,Conan5566 (連續殺人),[問卦] 川普遺書會寫什麼？,Fri Oct  2 15:01:05 2020
2,6,-4,posen2012 (posen),[問卦] 阿福一字馬484很香啊？,Wed Oct  7 17:20:27 2020
6,0,6,ostracize (bucolic),[問卦] 有沒有『洪蘭式煩惱』的八卦？,Fri Oct  2 14:44:54 2020
8,2,6,ericf129 (☆小艾克★),[問卦] 有沒有國慶煙火超屌的八卦？,Wed Oct  7 16:13:15 2020
8,10,-2,keane9112 (拎北逮頑郎 拎北反支那啦),[問卦] 那些質疑魏如萱的是否沒看到這段才質疑,Wed Oct  7 16:47:45 2020
4,0,4,aure0914 (tunik),[問卦] 如果川普在選前掛掉會怎樣？,Fri Oct  2 14:46:55 2020
1,3,-2,gs1 (2007/1/4),[問卦] 為什麼中國不保留皇室傳統 ??,Fri Oct  2 13:13:48 2020
10,0,10,cklovework (ckcck休。),[問卦] 65歲老人可以湊到一個輕裝師嗎？,Wed Oct  7 19:56:55 2020
5,0,5,sookie (宣醬),[新聞] 最新Chromecast搭載Google TV與遙控器,Wed Oct  7 19:05:05 2020
9,1,8,faceloser (臉輸哥),[問卦] 如果川普跟拜登都在選前病逝？,Fri Oct  2 13:29:51 2020
2,2,0,jiouje (JioUje),[問卦] 洗頭妹 幫我洗頭帶手套？？？？,Wed Oct  7 21:20:19 2020
1,0,1,Qorqios (☁銀長直傲嬌JK☁),[問卦] 夜よ 僕に歌わせるなよ,Wed Oct  7 20:56:44 2020
12,2,10,andy90498 (發錢喇幹),[問卦] 知道招式機01~08的都是什麼樣的人啊?,Wed Oct  7 20:07:39 2020
11,3,8,jerrysuper (super),[問卦] 機車吵爸媽出錢買的在想什麼？,Fri Oct  2 12:45:31 2020
26,3,23,jasonlin2100 (jasonlin),[問卦] 湖口一堆流氓8+9？,Wed Oct  7 18:39:50 2020
1,5,-4,realtw (realtw),[問卦] 核彈投中國哪，台灣才不會被波及？,Fri Oct  2 15:19:58 2020
4,0,4,Warheart ( ︶    八    ︶ ),[問卦] 被UBER EAT嗆不要送上樓怎麼辦,Fri Oct  2 12:13:46 2020
11,3,8,abcde010710 (跟著風向走的肥宅),[問卦] 林俊傑音樂功力怎麼樣,Wed Oct  7 17:16:44 2020
4,0,4,hmt17 (Popo:(bﾟ▽ﾟ)b),[新聞]《惡靈古堡》電影再啟卡司曝光！Netfix影,Wed Oct  7 21:20:51 2020
3,2,1,ICBM (),[新聞] 國民黨提案台美復交「促美協防抵抗中共,Wed Oct  7 20:14:40 2020
1,0,1,touurtn (vv),[問卦] 質疑口罩防疫效果的人是不是都遭到報應?,Fri Oct  2 13:26:18 2020
30,1,29,wizardfizban (瘋法師),[新聞] 萊豬文宣竟進入北市7國小 北市教育局：確,Wed Oct  7 20:41:42 2020
12,0,12,ibox5566 (I盒子5566),[問卦] 今天美股會熔斷嗎？,Fri Oct  2 13:09:18 2020
3,0,3,gemini2010 (本人在PTT所有發言為反串),[問卦] 靠觀光旅遊賺錢的歐豬現在經濟如何?,Fri Oct  2 14:42:42 2020
12,4,8,ron19971997 (安安),[問卦] 台北車站真的算迷宮嗎？,Wed Oct  7 16:47:55 2020
1,3,-2,powyo (光子郎),[問卦] 排骨酥湯+湯圓 這樣吃會很客家嗎,Fri Oct  2 13:12:15 2020
