title,like_amount,comment_amount,published_date,article_url
《天翼之鍊：SecondRun》發表會過程與試玩記錄 18 年前的經典劇情和人物再次重現,108,209,2022-07-16T11:30:00+08:00,https://gnn.gamer.com.tw/detail.php?sn=234853
《天翼之鍊：SecondRun》預計 2022 年在日本推出 釋出全新戰鬥要素「技能」「共鬥」,105,169,2022-07-11T14:23:40+08:00,https://gnn.gamer.com.tw/detail.php?sn=234521
《DJMax Respect V》將推出「NEXON DLC」 今起釋出《天翼之鍊》等合作預告影片,13,44,2021-10-25T19:18:40+08:00,https://gnn.gamer.com.tw/detail.php?sn=222941
《天翼之鍊 M》公開最新影片 強調將滿足粉絲情懷並增添新遊戲性,114,216,2021-08-05T13:38:53+08:00,https://gnn.gamer.com.tw/detail.php?sn=219041
【GNN 大調查】既期待又怕受傷害！2021 年最期待的手機遊戲票選結果出爐,93,140,2021-02-05T12:00:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=210428
外媒報導 NEXON 已終止《FFXI REBOOT》開發 將人力投入《天翼之鍊 M》等項目,5,44,2020-12-18T15:49:52+08:00,https://gnn.gamer.com.tw/detail.php?sn=208131
《夢之歷險》今日推出新故事「獸人與遙遠的莫里提烏斯之島」 延續依蘭特村既動人劇情,0,1,2020-01-14T18:05:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=191351
《天翼之鍊》韓版今日改版推出 EPISODE 4《變奏》第一章 開場動畫曝光,2,121,2019-07-18T16:12:18+08:00,https://gnn.gamer.com.tw/detail.php?sn=182856
《天翼之鍊 M》揭露更多遊戲細節 上市時程仍未確定,5,77,2019-06-27T18:29:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=181777
《天翼之鍊》韓版公開 EPISODE 4《變奏》宣傳影片 預告《天翼之鍊 M》即將登場,0,164,2019-06-20T16:55:41+08:00,https://gnn.gamer.com.tw/detail.php?sn=181421
《熱血江湖 M》正式更名為《熱血江湖：亂舞豪俠》宣布即將登陸台港澳,0,19,2018-12-14T15:01:29+08:00,https://gnn.gamer.com.tw/detail.php?sn=172566
