title,like_amount,comment_amount,published_date,article_url
《R2M：重燃戰火》公開宇宙少女 BONA 廣告拍攝現場影片,0,0,2022-07-28T17:05:29+08:00,https://gnn.gamer.com.tw/detail.php?sn=235494
《靈魂潮汐》新版本「永恆的圓舞曲」上線 人偶「蕖靈」登場,6,1,2022-07-27T16:08:16+08:00,https://gnn.gamer.com.tw/detail.php?sn=235402
《天堂 2 M》推出「壺精融合系統」及多項活動,1,7,2022-07-27T13:01:46+08:00,https://gnn.gamer.com.tw/detail.php?sn=235391
《Valor Legends：Idle RPG》在日本推出 夏日祭限時活動即將開幕,1,0,2022-07-27T17:10:00+08:00,https://gnn.gamer.com.tw/detail.php?sn=235421
定位技術 RPG《變形金剛 聯盟》正式於日本推出 在現實世界中召喚變形金剛,2,17,2022-07-27T12:09:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=235377
《R2M：重燃戰火》今正式上線 承襲《R2》經典玩法「據點攻城戰」「變身系統」,2,17,2022-07-26T12:54:35+08:00,https://gnn.gamer.com.tw/detail.php?sn=235317
《R2M：重燃戰火》正式上市倒數 1 天 提前開放事前下載,0,8,2022-07-25T17:39:17+08:00,https://gnn.gamer.com.tw/detail.php?sn=235279
魔物娘 RPG《四葉草劇場》確定 8/3 在日本推出 釋出角色介紹 PV 第三彈,9,15,2022-07-21T14:17:58+08:00,https://gnn.gamer.com.tw/detail.php?sn=235074
《黑色沙漠 MOBILE》仲夏之夜回饋活動「感謝之夜」第三波登場 「太陽神殿」限時開放,8,1,2022-07-19T17:45:40+08:00,https://gnn.gamer.com.tw/detail.php?sn=234945
《天翼之鍊：SecondRun》發表會過程與試玩記錄 18 年前的經典劇情和人物再次重現,108,209,2022-07-16T11:30:00+08:00,https://gnn.gamer.com.tw/detail.php?sn=234853
承襲《R2》IP 手機 MMORPG 新作《R2M：重燃戰火》公開正式上市日期,3,21,2022-07-15T14:06:38+08:00,https://gnn.gamer.com.tw/detail.php?sn=234790
《神魔之塔》x《數碼暴龍》全新合作活動「在神魔之塔展開新的冒險」即將登場,102,79,2022-07-14T17:00:05+08:00,https://gnn.gamer.com.tw/detail.php?sn=234731
《天堂 2 M》改版新增第二個神話職業「艾爾納」與全新競技場副本「哈勒那克迷宮」,3,2,2022-07-13T12:10:45+08:00,https://gnn.gamer.com.tw/detail.php?sn=234619
《R2M：重燃戰火》宣布 7 月 15 日舉辦線上發表會 將揭曉台港澳地區上市日期,1,10,2022-07-12T11:51:29+08:00,https://gnn.gamer.com.tw/detail.php?sn=234560
《天翼之鍊：SecondRun》預計 2022 年在日本推出 釋出全新戰鬥要素「技能」「共鬥」,105,169,2022-07-11T14:23:40+08:00,https://gnn.gamer.com.tw/detail.php?sn=234521
《Another Eden：穿越時空的貓》外史「徬徨的少女與久遠的漩渦」今日登場,24,15,2022-07-08T15:08:28+08:00,https://gnn.gamer.com.tw/detail.php?sn=234451
《神魔之塔》夢魘級王者「芬甜女王 ‧ 希」下週降臨「究極北歐神」技能上調,28,31,2022-07-07T17:00:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=234400
NEXON 宣布將以 300 個攤位大規模參加韓國遊戲展 Gstar 2022,9,17,2022-07-05T19:08:42+08:00,https://gnn.gamer.com.tw/detail.php?sn=234288
《R2M：重燃戰火》開啟「搶佔角色名稱」「事前加入公會」活動,3,15,2022-07-05T12:16:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=234254
《咒術迴戰 幻影遊行》釋出新宣傳影片 首次揭露釘崎野薔薇、禪院真希必殺技演出,16,11,2022-07-04T16:22:36+08:00,https://gnn.gamer.com.tw/detail.php?sn=234201
《勇者鬥惡龍 達伊的大冒險 燃魂羈絆》「一起去打西瓜大會吧！後篇」進行中,6,2,2022-07-04T17:30:46+08:00,https://gnn.gamer.com.tw/detail.php?sn=234208
《R2M：重燃戰火》CBT 正式開跑 釋出「法師」「刺客」職業介紹短片,1,17,2022-07-01T11:57:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=234084
《TIME DEFENDERS - 時間守護者》釋出新英雄 物理屬性襲擊者「莉諾」,3,3,2022-06-30T14:46:16+08:00,https://gnn.gamer.com.tw/detail.php?sn=234031
《魔法少女奈葉》都築真紀操刀主要劇情《無限之魂》在日推出 與夥伴共同對抗電腦犯罪,8,21,2022-06-30T18:43:03+08:00,https://gnn.gamer.com.tw/detail.php?sn=234065
網頁遊戲改編《洛克王國手遊》釋出全新 PV「可可果節的重聚」揭露全新人文景觀,4,15,2022-06-28T11:43:35+08:00,https://gnn.gamer.com.tw/detail.php?sn=233873
《勇者鬥惡龍 達伊的大冒險 燃魂羈絆》舉辦活動「一起去打西瓜大會吧！前篇」,5,1,2022-06-28T17:52:17+08:00,https://gnn.gamer.com.tw/detail.php?sn=233909
正統日系幻想 RPG《悠久之樹》在日推出 與異族夥伴一起展開圍繞「神樹」的悠久之旅,7,24,2022-06-23T14:35:48+08:00,https://gnn.gamer.com.tw/detail.php?sn=233668
《龍族幻想》與《迪士尼》推出全新活動 限時開啟雙人活動副本「通往城堡之路」,2,1,2022-06-22T16:55:21+08:00,https://gnn.gamer.com.tw/detail.php?sn=233605
無邊界星球探索 MMORPG《諾亞之心 Noah's Heart》明日開啟限時封測,8,45,2022-06-22T11:48:27+08:00,https://gnn.gamer.com.tw/detail.php?sn=233583
《戰意》攜手台灣知名藝術家「BOUNCE」跨界推出聯名公仔,7,10,2022-06-17T23:49:39+08:00,https://gnn.gamer.com.tw/detail.php?sn=233452
《皇家騎士團》系列新作？《皇家騎士團：重生》出現在北美 PS Store,68,62,2022-06-14T12:07:39+08:00,https://gnn.gamer.com.tw/detail.php?sn=233212
《Flashback 2》於 Summer Game Fest 首度曝光 預計 2022 年冬季於 PC 及家用主機亮相,6,1,2022-06-10T02:49:20+08:00,https://gnn.gamer.com.tw/detail.php?sn=233001
《Final Fantasy》系列首款線上遊戲《Final Fantasy XI》今日營運屆滿 20 周年,102,89,2022-05-16T20:42:37+08:00,https://gnn.gamer.com.tw/detail.php?sn=231905
魔物娘 RPG《四葉草劇場》將於日本展開 CBT 測試 即日起開放報名申請,10,15,2022-04-11T16:59:06+08:00,https://gnn.gamer.com.tw/detail.php?sn=230407
鴿子的元宇宙《Hatoverse》在日本推出 體驗化身鴿子的奇妙世界,20,34,2022-04-07T18:36:24+08:00,https://gnn.gamer.com.tw/detail.php?sn=230267
Devsisters 首次線上發表會  DevNow 4 月 14 日全球登場 將帶來多項新作介紹及 IP 計畫,9,1,2022-04-06T18:50:34+08:00,https://gnn.gamer.com.tw/detail.php?sn=230192
《太閤立志傳 V DX》介紹遊戲內容與新追加要素的 PV 正式公開,30,56,2022-03-10T23:41:22+08:00,https://gnn.gamer.com.tw/detail.php?sn=228982
《Golden Bros》揭曉全新遊戲預告片 將推出「GB 珍妮佛神秘箱子」預售,2,0,2022-03-04T15:20:51+08:00,https://gnn.gamer.com.tw/detail.php?sn=228698
NEXON 公開最新開發專案「FACEPLAY」 運用視訊輕鬆享受派對遊戲樂趣！,3,1,2022-02-10T16:03:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=227774
《阿凡達 2》改編 MMO 新作《Avatar：Reckoning》曝光 預定 2022 年推出,9,85,2022-01-14T14:51:39+08:00,https://gnn.gamer.com.tw/detail.php?sn=226686
