timestamp_ms,value,datetime,year,month
1101877200000,468888,2004-12-01 05:00:00,2004,12
1104555600000,260289,2005-01-01 05:00:00,2005,1
1107234000000,186082,2005-02-01 05:00:00,2005,2
1109653200000,896426,2005-03-01 05:00:00,2005,3
1112331600000,566890,2005-04-01 05:00:00,2005,4
1114920000000,435346,2005-05-01 04:00:00,2005,5
1117598400000,493837,2005-06-01 04:00:00,2005,6
1120190400000,326961,2005-07-01 04:00:00,2005,7
1122868800000,290192,2005-08-01 04:00:00,2005,8
1125547200000,1436428,2005-09-01 04:00:00,2005,9
1128139200000,547927,2005-10-01 04:00:00,2005,10
1130821200000,1029161,2005-11-01 05:00:00,2005,11
1133413200000,3143807,2005-12-01 05:00:00,2005,12
1136091600000,802462,2006-01-01 05:00:00,2006,1
1138770000000,634268,2006-02-01 05:00:00,2006,2
1141189200000,767860,2006-03-01 05:00:00,2006,3
1143867600000,684913,2006-04-01 05:00:00,2006,4
1146456000000,642330,2006-05-01 04:00:00,2006,5
1149134400000,697049,2006-06-01 04:00:00,2006,6
1151726400000,549421,2006-07-01 04:00:00,2006,7
1154404800000,502527,2006-08-01 04:00:00,2006,8
1157083200000,511825,2006-09-01 04:00:00,2006,9
1159675200000,392048,2006-10-01 04:00:00,2006,10
1162357200000,857453,2006-11-01 05:00:00,2006,11
1164949200000,2446428,2006-12-01 05:00:00,2006,12
1167627600000,780382,2007-01-01 05:00:00,2007,1
1170306000000,668197,2007-02-01 05:00:00,2007,2
1172725200000,768658,2007-03-01 05:00:00,2007,3
1175400000000,626827,2007-04-01 04:00:00,2007,4
1177992000000,862300,2007-05-01 04:00:00,2007,5
1180670400000,953962,2007-06-01 04:00:00,2007,6
1183262400000,714778,2007-07-01 04:00:00,2007,7
1185940800000,590211,2007-08-01 04:00:00,2007,8
1188619200000,1428702,2007-09-01 04:00:00,2007,9
1191211200000,1050244,2007-10-01 04:00:00,2007,10
1193889600000,1218387,2007-11-01 04:00:00,2007,11
1196485200000,3151649,2007-12-01 05:00:00,2007,12
1199163600000,1450658,2008-01-01 05:00:00,2008,1
1201842000000,892974,2008-02-01 05:00:00,2008,2
1204347600000,1289492,2008-03-01 05:00:00,2008,3
1207022400000,953846,2008-04-01 04:00:00,2008,4
1209614400000,784344,2008-05-01 04:00:00,2008,5
1212292800000,1108337,2008-06-01 04:00:00,2008,6
1214884800000,962699,2008-07-01 04:00:00,2008,7
1217563200000,853878,2008-08-01 04:00:00,2008,8
1220241600000,725075,2008-09-01 04:00:00,2008,9
1222833600000,842766,2008-10-01 04:00:00,2008,10
1225512000000,1191473,2008-11-01 04:00:00,2008,11
