timestamp_ms,value,datetime,year,month
1322715600000,481573,2011-12-01 05:00:00,2011,12
1325394000000,107855,2012-01-01 05:00:00,2012,1
1328072400000,502428,2012-02-01 05:00:00,2012,2
1330578000000,406438,2012-03-01 05:00:00,2012,3
1333252800000,192321,2012-04-01 04:00:00,2012,4
1335844800000,157334,2012-05-01 04:00:00,2012,5
1338523200000,260101,2012-06-01 04:00:00,2012,6
1341115200000,158031,2012-07-01 04:00:00,2012,7
1343793600000,139691,2012-08-01 04:00:00,2012,8
1346472000000,244431,2012-09-01 04:00:00,2012,9
1349064000000,174492,2012-10-01 04:00:00,2012,10
1351742400000,465691,2012-11-01 04:00:00,2012,11
1354338000000,736090,2012-12-01 05:00:00,2012,12
1357016400000,230439,2013-01-01 05:00:00,2013,1
1359694800000,197906,2013-02-01 05:00:00,2013,2
1362114000000,309282,2013-03-01 05:00:00,2013,3
1364788800000,164806,2013-04-01 04:00:00,2013,4
1367380800000,138002,2013-05-01 04:00:00,2013,5
1370059200000,207440,2013-06-01 04:00:00,2013,6
1372651200000,155409,2013-07-01 04:00:00,2013,7
1375329600000,174693,2013-08-01 04:00:00,2013,8
1378008000000,212361,2013-09-01 04:00:00,2013,9
1380600000000,323397,2013-10-01 04:00:00,2013,10
1383278400000,488787,2013-11-01 04:00:00,2013,11
1385874000000,863044,2013-12-01 05:00:00,2013,12
1388552400000,253546,2014-01-01 05:00:00,2014,1
1391230800000,196613,2014-02-01 05:00:00,2014,2
1393650000000,309642,2014-03-01 05:00:00,2014,3
1396324800000,180090,2014-04-01 04:00:00,2014,4
1398916800000,208945,2014-05-01 04:00:00,2014,5
1401595200000,215247,2014-06-01 04:00:00,2014,6
1404187200000,209462,2014-07-01 04:00:00,2014,7
1406865600000,168786,2014-08-01 04:00:00,2014,8
1409544000000,204012,2014-09-01 04:00:00,2014,9
1412136000000,185819,2014-10-01 04:00:00,2014,10
1414814400000,350552,2014-11-01 04:00:00,2014,11
1417410000000,616078,2014-12-01 05:00:00,2014,12
1420088400000,165167,2015-01-01 05:00:00,2015,1
1422766800000,176928,2015-02-01 05:00:00,2015,2
1425186000000,270289,2015-03-01 05:00:00,2015,3
1427860800000,133438,2015-04-01 04:00:00,2015,4
1430452800000,119280,2015-05-01 04:00:00,2015,5
1433131200000,149128,2015-06-01 04:00:00,2015,6
1435723200000,109473,2015-07-01 04:00:00,2015,7
1438401600000,107228,2015-08-01 04:00:00,2015,8
1441080000000,159697,2015-09-01 04:00:00,2015,9
1443672000000,133302,2015-10-01 04:00:00,2015,10
1446350400000,192607,2015-11-01 04:00:00,2015,11
1448946000000,686653,2015-12-01 05:00:00,2015,12
1451624400000,226847,2016-01-01 05:00:00,2016,1
1454302800000,172373,2016-02-01 05:00:00,2016,2
1456808400000,210541,2016-03-01 05:00:00,2016,3
1459483200000,131500,2016-04-01 04:00:00,2016,4
1462075200000,125990,2016-05-01 04:00:00,2016,5
1464753600000,137556,2016-06-01 04:00:00,2016,6
1467345600000,101405,2016-07-01 04:00:00,2016,7
1470024000000,97038,2016-08-01 04:00:00,2016,8
1472702400000,138322,2016-09-01 04:00:00,2016,9
1475294400000,114235,2016-10-01 04:00:00,2016,10
1477972800000,149493,2016-11-01 04:00:00,2016,11
1480568400000,373040,2016-12-01 05:00:00,2016,12
1483246800000,164288,2017-01-01 05:00:00,2017,1
1485925200000,94989,2017-02-01 05:00:00,2017,2
1488344400000,97392,2017-03-01 05:00:00,2017,3
1491019200000,47744,2017-04-01 04:00:00,2017,4
1493611200000,37319,2017-05-01 04:00:00,2017,5
1496289600000,36671,2017-06-01 04:00:00,2017,6
1498881600000,28224,2017-07-01 04:00:00,2017,7
1501560000000,28129,2017-08-01 04:00:00,2017,8
1504238400000,30921,2017-09-01 04:00:00,2017,9
1506830400000,24509,2017-10-01 04:00:00,2017,10
1509508800000,30312,2017-11-01 04:00:00,2017,11
1512104400000,71415,2017-12-01 05:00:00,2017,12
1514782800000,25400,2018-01-01 05:00:00,2018,1
1517461200000,15477,2018-02-01 05:00:00,2018,2
1519880400000,18667,2018-03-01 05:00:00,2018,3
1522555200000,9715,2018-04-01 04:00:00,2018,4
1525147200000,9752,2018-05-01 04:00:00,2018,5
1527825600000,8931,2018-06-01 04:00:00,2018,6
1530417600000,7835,2018-07-01 04:00:00,2018,7
1533096000000,7866,2018-08-01 04:00:00,2018,8
1535774400000,7601,2018-09-01 04:00:00,2018,9
1538366400000,6512,2018-10-01 04:00:00,2018,10
1541044800000,10490,2018-11-01 04:00:00,2018,11
1543640400000,9861,2018-12-01 05:00:00,2018,12
1546318800000,4165,2019-01-01 05:00:00,2019,1
1548997200000,3418,2019-02-01 05:00:00,2019,2
1551416400000,2103,2019-03-01 05:00:00,2019,3
1554091200000,1026,2019-04-01 04:00:00,2019,4
1556683200000,971,2019-05-01 04:00:00,2019,5
1559361600000,491,2019-06-01 04:00:00,2019,6
1561953600000,405,2019-07-01 04:00:00,2019,7
1564632000000,361,2019-08-01 04:00:00,2019,8
1567310400000,93,2019-09-01 04:00:00,2019,9
1569902400000,68,2019-10-01 04:00:00,2019,10
1572580800000,69,2019-11-01 04:00:00,2019,11
1575176400000,132,2019-12-01 05:00:00,2019,12
