timestamp_ms,value,datetime,year,month
1130821200000,350847,2005-11-01 05:00:00,2005,11
1133413200000,828057,2005-12-01 05:00:00,2005,12
1136091600000,518934,2006-01-01 05:00:00,2006,1
1138770000000,331322,2006-02-01 05:00:00,2006,2
1141189200000,397650,2006-03-01 05:00:00,2006,3
1143867600000,483089,2006-04-01 05:00:00,2006,4
1146456000000,386471,2006-05-01 04:00:00,2006,5
1149134400000,405110,2006-06-01 04:00:00,2006,6
1151726400000,303676,2006-07-01 04:00:00,2006,7
1154404800000,298820,2006-08-01 04:00:00,2006,8
1157083200000,447626,2006-09-01 04:00:00,2006,9
1159675200000,343113,2006-10-01 04:00:00,2006,10
1162357200000,849085,2006-11-01 05:00:00,2006,11
1164949200000,2041655,2006-12-01 05:00:00,2006,12
1167627600000,500617,2007-01-01 05:00:00,2007,1
1170306000000,446122,2007-02-01 05:00:00,2007,2
1172725200000,440324,2007-03-01 05:00:00,2007,3
1175400000000,311201,2007-04-01 04:00:00,2007,4
1177992000000,318942,2007-05-01 04:00:00,2007,5
1180670400000,390447,2007-06-01 04:00:00,2007,6
1183262400000,267042,2007-07-01 04:00:00,2007,7
1185940800000,412672,2007-08-01 04:00:00,2007,8
1188619200000,824372,2007-09-01 04:00:00,2007,9
1191211200000,766862,2007-10-01 04:00:00,2007,10
1193889600000,1035542,2007-11-01 04:00:00,2007,11
1196485200000,2193016,2007-12-01 05:00:00,2007,12
1199163600000,674931,2008-01-01 05:00:00,2008,1
1201842000000,491587,2008-02-01 05:00:00,2008,2
1204347600000,631290,2008-03-01 05:00:00,2008,3
1207022400000,520744,2008-04-01 04:00:00,2008,4
1209614400000,505934,2008-05-01 04:00:00,2008,5
1212292800000,531833,2008-06-01 04:00:00,2008,6
1214884800000,494298,2008-07-01 04:00:00,2008,7
1217563200000,463130,2008-08-01 04:00:00,2008,8
1220241600000,826196,2008-09-01 04:00:00,2008,9
1222833600000,825265,2008-10-01 04:00:00,2008,10
1225512000000,1795402,2008-11-01 04:00:00,2008,11
1228107600000,3396498,2008-12-01 05:00:00,2008,12
1230786000000,751241,2009-01-01 05:00:00,2009,1
1233464400000,717758,2009-02-01 05:00:00,2009,2
1235883600000,771557,2009-03-01 05:00:00,2009,3
1238558400000,466713,2009-04-01 04:00:00,2009,4
1241150400000,403264,2009-05-01 04:00:00,2009,5
1243828800000,549049,2009-06-01 04:00:00,2009,6
1246420800000,421219,2009-07-01 04:00:00,2009,7
1249099200000,453415,2009-08-01 04:00:00,2009,8
1251777600000,736679,2009-09-01 04:00:00,2009,9
1254369600000,695055,2009-10-01 04:00:00,2009,10
1257048000000,1753018,2009-11-01 04:00:00,2009,11
1259643600000,2896665,2009-12-01 05:00:00,2009,12
1262322000000,728723,2010-01-01 05:00:00,2010,1
1265000400000,728481,2010-02-01 05:00:00,2010,2
1267419600000,754399,2010-03-01 05:00:00,2010,3
1270094400000,472057,2010-04-01 04:00:00,2010,4
1272686400000,424058,2010-05-01 04:00:00,2010,5
1275364800000,808440,2010-06-01 04:00:00,2010,6
1277956800000,985849,2010-07-01 04:00:00,2010,7
1280635200000,741176,2010-08-01 04:00:00,2010,8
1283313600000,1001771,2010-09-01 04:00:00,2010,9
1285905600000,798125,2010-10-01 04:00:00,2010,10
1288584000000,2330328,2010-11-01 04:00:00,2010,11
